produto,categoria,quantidade_estoque,preco,unidades_vendidas,validade,fornecedor,estoque_minimo
Paracetamol 500mg,Analgésico,0.0,0.0,0.0,,PharmaPlus,0.0
Paracetamol 500mg,Analgésico,0.0,8.5,0.0,,PharmaPlus,50.0
Ibuprofeno 400mg,Anti-inflamatório,80.0,12.9,60.0,,MedCare,40.0
Dipirona 1g,Analgésico,200.0,5.0,120.0,,PharmaPlus,70.0
Omeprazol 20mg,Antiácido,0.0,0.0,0.0,,BioHealth,0.0
Loratadina 10mg,Antialérgico,40.0,9.99,25.0,,MedCare,20.0
Vitamina C 500mg,Suplemento,150.0,14.5,80.0,,NutriLab,60.0
Amoxicilina 500mg,Antibiótico,50.0,22.3,35.0,,PharmaPlus,25.0
Soro Fisiológico 500ml,Item Hospitalar,90.0,0.0,70.0,,HospEquip,40.0
Álcool 70%,Higiene,30.0,6.5,0.0,,HospEquip,20.0
Fralda Geriátrica G,Higiene,0.0,0.0,0.0,,SeniorCare,0.0
Clorexidina 2%,Antisséptico,0.0,0.0,0.0,,HospEquip,0.0
Multivitamínico A-Z,Suplemento,0.0,0.0,0.0,,NutriLab,0.0
Metformina 850mg,Antidiabético,60.0,17.5,40.0,,PharmaPlus,30.0
Losartana 50mg,Antihipertensivo,85.0,19.9,55.0,,MedCare,40.0
Airborne Vitamina C,Suplemento,0.0,0.0,0.0,,NutriLab,0.0
Sabonete Líquido Neutro,Higiene,75.0,7.5,20.0,,CleanCare,30.0
Pomada Nebacetin,Antisséptico,45.0,16.8,18.0,,BioHealth,20.0
Seringa 5ml,Item Hospitalar,0.0,0.0,0.0,,HospEquip,0.0
Pomada de Assadura,Bebê,50.0,9.49,28.0,,BabySoft,20.0
Shampoo Anticaspa,Higiene,60.0,22.5,30.0,,CleanCare,25.0
Escova Dental Macia,Higiene Bucal,150.0,6.2,80.0,,OralMax,50.0
Enxaguante Bucal 500ml,Higiene Bucal,0.0,0.0,0.0,,OralMax,0.0
