produto,categoria,quantidade_estoque,preco,unidades_vendidas,validade,fornecedor,estoque_minimo
Paracetamol 500mg,Analgésico,,,,0000-00-00,PharmaPlus,
Paracetamol 500mg,Analgésico,Analgésico,8.5,0.0,2024-02-31,PharmaPlus,50.0
Ibuprofeno 400mg,Anti-inflamatório,80.0,12.9,60.0,0000-00-00,MedCare,40.0
Dipirona 1g,Analgésico,200.0,5.0,120.0,2025-13-40,PharmaPlus,70.0
Omeprazol 20mg,Antiácido,,,,2022-11-00,BioHealth,
Loratadina 10mg,Antialérgico,40.0,9.99,25.0,2022-11-00,MedCare,20.0
Vitamina C 500mg,Suplemento,150.0,14.5,80.0,2025-13-40,NutriLab,60.0
Amoxicilina 500mg,Antibiótico,50.0,22.3,35.0,2024-02-31,PharmaPlus,25.0
Soro Fisiológico 500ml,Item Hospitalar,90.0,0.0,70.0,2024-02-31,HospEquip,40.0
Álcool 70%,Higiene,30.0,6.5,0.0,2023-00-15,HospEquip,20.0
Fralda Geriátrica G,Higiene,,,,2022-11-00,SeniorCare,
Clorexidina 2%,Antisséptico,,,,2023-00-15,HospEquip,
Multivitamínico A-Z,Suplemento,,,,2025-13-40,NutriLab,
Metformina 850mg,Antidiabético,60.0,17.5,40.0,0000-00-00,PharmaPlus,30.0
Losartana 50mg,Antihipertensivo,85.0,19.9,55.0,2025-13-40,MedCare,40.0
Airborne Vitamina C,Suplemento,,,,2022-11-00,NutriLab,
Sabonete Líquido Neutro,Higiene,75.0,7.5,20.0,2022-11-00,CleanCare,30.0
Pomada Nebacetin,Antisséptico,45.0,16.8,18.0,2023-00-15,BioHealth,20.0
Seringa 5ml,Item Hospitalar,,,,2024-02-31,HospEquip,
Pomada de Assadura,Bebê,50.0,9.49,28.0,2023-00-15,BabySoft,20.0
Shampoo Anticaspa,Higiene,60.0,22.5,30.0,2025-13-40,CleanCare,25.0
Escova Dental Macia,Higiene Bucal,150.0,6.2,80.0,2024-02-31,OralMax,50.0
Enxaguante Bucal 500ml,Higiene Bucal,,,,2022-11-00,OralMax,
Protetor Solar FPS 50,Cosmético,45.0,49.9,33.0,2023-00-15,SkinCare,20.0
Hidratante Corporal 200ml,Cosmético,,,,0000-00-00,SkinCare,
Carvão Ativado 250mg,Fitoterápico,35.0,21.0,14.0,2025-13-40,NatureLab,15.0
Chá de Camomila,Fitoterápico,,,,2023-00-15,NatureLab,
Bandagem Elástica M,Primeiros Socorros,80.0,12.0,38.0,2025-13-40,HospEquip,30.0
Termômetro Digital,Equipamento,25.0,34.9,12.0,2024-02-31,TechMed,10.0
Oxímetro de Dedo,Equipamento,18.0,59.9,8.0,2022-11-00,TechMed,5.0
Água Micelar 200ml,Cosmético,55.0,24.99,26.0,0000-00-00,SkinCare,20.0
Sabão Glicerinado,Higiene,,,,2025-13-40,CleanCare,
Pasta de Dente Infantil,Higiene Bucal,95.0,8.2,40.0,2024-02-31,OralMax,35.0
Escova Interdental,Higiene Bucal,60.0,12.5,22.0,2025-13-40,OralMax,25.0
Creatina 300g,Suplemento,45.0,89.9,18.0,2023-00-15,NutriLab,20.0
Whey Protein 900g,Suplemento,35.0,129.9,16.0,2024-02-31,NutriLab,15.0
Vitamina D3 2000UI,Suplemento,,,,2024-02-31,NutriLab,
Antisséptico Bucal Kids,Higiene Bucal,50.0,11.5,19.0,2023-00-15,OralMax,20.0
Esmalte Fortalecedor,Cosmético,45.0,18.9,17.0,2022-11-00,SkinCare,20.0
Creme para Mãos 50g,Cosmético,65.0,12.9,25.0,2024-02-31,SkinCare,25.0
Loção Pós-sol,Cosmético,,,,2024-02-31,SkinCare,
Chá Verde,Fitoterápico,85.0,11.5,36.0,2024-02-31,NatureLab,35.0
Guaraná em Pó 100g,Fitoterápico,,,,2025-13-40,NatureLab,
Curativo Impermeável,Primeiros Socorros,140.0,3.6,75.0,2023-00-15,HospEquip,50.0
Desodorante Aerosol,Higiene,,,,0000-00-00,CleanCare,
Sabonete Íntimo,Higiene,,,,2024-02-31,CleanCare,
Lenço Umedecido,Bebê,130.0,12.8,60.0,2024-02-31,BabySoft,50.0
Shampoo Bebê,Bebê,,,,2022-11-00,BabySoft,
Toalha Umedecida Antisséptica,Higiene,75.0,15.9,0.0,0000-00-00,CleanCare,30.0
Enfátese Premium 800g,Suplemento Infantil,40.0,69.9,18.0,2025-13-40,BabySoft,15.0
Protetor Labial FPS 30,Cosmético,85.0,0.0,41.0,2023-00-15,SkinCare,0.0
Creme Antirrugas,Cosmético,30.0,89.9,12.0,2024-02-31,SkinCare,10.0
Água Termal 150ml,Cosmético,0.0,32.9,20.0,0000-00-00,SkinCare,20.0
Ácido Salicílico 2%,Dermocosmético,35.0,49.9,14.0,2025-13-40,SkinCare,15.0
Serum Vitamina C 10%,Dermocosmético,30.0,0.0,16.0,2025-13-40,SkinCare,0.0
Vitamina B12 1000mcg,Suplemento,,,,2022-11-00,NutriLab,
Probiotico 30 Cápsulas,Suplemento,,,,2023-00-15,NutriLab,
Ômega 3 1000mg,Suplemento,0.0,59.9,55.0,2022-11-00,NutriLab,50.0
Passiflora 500mg,Fitoterápico,0.0,22.9,16.0,2023-00-15,NatureLab,20.0
Ginkgo Biloba 80mg,Fitoterápico,60.0,28.9,24.0,0000-00-00,NatureLab,25.0
Bepantol Baby,Bebê,40.0,29.9,18.0,2025-13-40,BabySoft,15.0
Pomada para Hemorroida,Medicamento,25.0,22.9,10.0,2024-02-31,PharmaPlus,10.0
Captopril 25mg,Antihipertensivo,,,,2025-13-40,MedCare,
Simeticona 40mg,Antigases,50.0,9.9,21.0,2023-00-15,MedCare,20.0
