produto,categoria,quantidade_estoque,preco,unidades_vendidas,validade,fornecedor,estoque_minimo
Paracetamol 500mg,Analgésico,120.0,8.5,0.0,2025-03-10,PharmaPlus,50.0
Paracetamol 500mg,Analgésico,Analgésico,8.5,0.0,2025-03-10,PharmaPlus,50.0
Ibuprofeno 400mg,Anti-inflamatório,80.0,12.9,60.0,2026-01-15,MedCare,40.0
Dipirona 1g,Analgésico,200.0,5.0,120.0,2024-12-01,PharmaPlus,70.0
Omeprazol 20mg,Antiácido,65.0,18.4,30.0,2025-08-22,BioHealth,30.0
Loratadina 10mg,Antialérgico,40.0,9.99,25.0,2024-11-10,MedCare,20.0
Vitamina C 500mg,Suplemento,150.0,14.5,80.0,2026-05-19,NutriLab,60.0
Amoxicilina 500mg,Antibiótico,50.0,22.3,35.0,2024-09-30,PharmaPlus,25.0
Soro Fisiológico 500ml,Item Hospitalar,90.0,0.0,70.0,2026-02-01,HospEquip,40.0
Álcool 70%,Higiene,30.0,6.5,0.0,2027-01-01,HospEquip,20.0
Fralda Geriátrica G,Higiene,0.0,39.9,10.0,2025-04-12,SeniorCare,20.0
Clorexidina 2%,Antisséptico,55.0,11.2,22.0,2025-11-20,HospEquip,25.0
Multivitamínico A-Z,Suplemento,140.0,32.0,0.0,2026-06-10,NutriLab,50.0
Metformina 850mg,Antidiabético,60.0,17.5,40.0,2025-09-05,PharmaPlus,30.0
Losartana 50mg,Antihipertensivo,85.0,19.9,55.0,2026-03-14,MedCare,40.0
Airborne Vitamina C,Suplemento,100.0,28.99,48.0,2026-12-01,NutriLab,40.0
Sabonete Líquido Neutro,Higiene,75.0,7.5,20.0,2027-05-22,CleanCare,30.0
Pomada Nebacetin,Antisséptico,45.0,16.8,18.0,2025-07-08,BioHealth,20.0
Seringa 5ml,Item Hospitalar,200.0,1.2,90.0,2029-01-01,HospEquip,100.0
Pomada de Assadura,Bebê,50.0,9.49,28.0,2025-10-12,BabySoft,20.0
Shampoo Anticaspa,Higiene,60.0,22.5,30.0,2026-09-21,CleanCare,25.0
Escova Dental Macia,Higiene Bucal,150.0,6.2,80.0,2030-01-01,OralMax,50.0
Enxaguante Bucal 500ml,Higiene Bucal,110.0,14.9,55.0,2027-03-18,OralMax,40.0
Protetor Solar FPS 50,Cosmético,45.0,49.9,33.0,2025-12-30,SkinCare,20.0
Hidratante Corporal 200ml,Cosmético,70.0,26.5,27.0,2026-04-19,SkinCare,30.0
Carvão Ativado 250mg,Fitoterápico,35.0,21.0,14.0,2025-02-11,NatureLab,15.0
Chá de Camomila,Fitoterápico,90.0,10.0,32.0,2026-08-01,NatureLab,40.0
Bandagem Elástica M,Primeiros Socorros,80.0,12.0,38.0,2028-02-01,HospEquip,30.0
